Date,Device Category,Browser,# of Visitors,Sessions,Bounce Rate
2014-01-03T00:00:00.000,desktop,Internet Explorer,2595,2837,45.1181
2014-01-03T00:00:00.000,desktop,Opera,35,35,100
2014-01-03T00:00:00.000,desktop,Safari,727,727,61.8982
2014-01-03T00:00:00.000,mobile,Android Browser,519,623,66.6132
2014-01-03T00:00:00.000,mobile,Chrome,242,277,49.8195
2014-01-03T00:00:00.000,mobile,Safari,830,969,85.6553
2014-01-03T00:00:00.000,tablet,Amazon Silk,35,35,0
2014-01-03T00:00:00.000,tablet,Android Browser,35,35,100
2014-01-03T00:00:00.000,tablet,Chrome,69,104,33.6538
2014-01-03T00:00:00.000,tablet,Safari,519,554,56.1372
2014-01-04T00:00:00.000,desktop,Chrome,934,934,62.955
2014-01-04T00:00:00.000,desktop,Firefox,761,761,45.4665
2014-01-04T00:00:00.000,desktop,Internet Explorer,969,1107,43.7218
2014-01-04T00:00:00.000,desktop,Safari,346,346,60.1156
2014-01-04T00:00:00.000,mobile,Android Browser,381,381,63.5171
2014-01-04T00:00:00.000,mobile,BlackBerry,35,35,100
2014-01-04T00:00:00.000,mobile,Chrome,277,277,87.3646
2014-01-04T00:00:00.000,mobile,Opera Mini,69,69,100
2014-01-04T00:00:00.000,mobile,Safari,796,830,58.3133
2014-01-04T00:00:00.000,mobile,Safari (in-app),35,35,100
2014-01-04T00:00:00.000,mobile,UC Browser,35,35,100
2014-01-04T00:00:00.000,tablet,Amazon Silk,69,69,0
2014-01-04T00:00:00.000,tablet,Android Browser,69,138,100
2014-01-04T00:00:00.000,tablet,Chrome,138,173,79.7688
2014-01-04T00:00:00.000,tablet,Safari,519,623,72.2311
2014-01-05T00:00:00.000,desktop,Chrome,1211,1419,51.2333
2014-01-05T00:00:00.000,desktop,Firefox,969,1038,46.6281
2014-01-05T00:00:00.000,desktop,Internet Explorer,969,1038,53.3719
2014-01-05T00:00:00.000,desktop,Safari,484,484,28.5124
2014-01-05T00:00:00.000,mobile,Android Browser,484,554,56.1372
2014-01-05T00:00:00.000,mobile,Chrome,208,208,50
2014-01-05T00:00:00.000,mobile,Internet Explorer,35,35,0
2014-01-05T00:00:00.000,mobile,Safari,727,761,68.1997
2014-01-05T00:00:00.000,tablet,Amazon Silk,35,35,0
2014-01-05T00:00:00.000,tablet,Chrome,69,69,50.7246
2014-01-05T00:00:00.000,tablet,Safari,519,588,41.1565
2014-01-05T00:00:00.000,tablet,Safari (in-app),35,35,100
2014-01-06T00:00:00.000,desktop,Chrome,2422,2837,43.9196
2014-01-06T00:00:00.000,desktop,Firefox,1730,1869,35.1525
2014-01-06T00:00:00.000,desktop,IE with Chrome Frame,104,104,33.6538
2014-01-06T00:00:00.000,desktop,Internet Explorer,3564,4187,35.5386
2014-01-06T00:00:00.000,desktop,Opera,35,35,100
2014-01-06T00:00:00.000,desktop,Safari,1280,1419,56.0958
2014-01-06T00:00:00.000,mobile,Android Browser,519,554,68.7726
2014-01-06T00:00:00.000,mobile,Chrome,242,242,71.4876
2014-01-06T00:00:00.000,mobile,Opera Mini,69,69,0
2014-01-06T00:00:00.000,mobile,Safari,969,1073,67.754
2014-01-06T00:00:00.000,mobile,Safari (in-app),69,69,100
2014-01-06T00:00:00.000,tablet,Amazon Silk,35,35,0
2014-01-06T00:00:00.000,tablet,Chrome,69,69,100
2014-01-06T00:00:00.000,tablet,Safari,761,900,26.8889
2014-01-06T00:00:00.000,tablet,Safari (in-app),69,69,50.7246
2014-01-07T00:00:00.000,desktop,Chrome,3737,4533,50.3861
2014-01-07T00:00:00.000,desktop,Firefox,1592,1799,26.9038
2014-01-07T00:00:00.000,desktop,IE with Chrome Frame,104,104,66.3462
2014-01-07T00:00:00.000,desktop,Internet Explorer,5986,7197,41.823
2014-01-07T00:00:00.000,desktop,Opera,35,35,0
2014-01-07T00:00:00.000,desktop,Safari,1350,1557,44.4444
2014-01-07T00:00:00.000,mobile,Android Browser,1038,1246,69.4222
2014-01-07T00:00:00.000,mobile,Chrome,311,415,50.1205
2014-01-07T00:00:00.000,mobile,Firefox,35,35,0
2014-01-07T00:00:00.000,mobile,Internet Explorer,35,35,100
2014-01-07T00:00:00.000,mobile,Safari,1592,1903,63.6364
2014-01-07T00:00:00.000,mobile,Safari (in-app),173,173,60.1156
2014-01-07T00:00:00.000,tablet,Amazon Silk,104,173,100
2014-01-07T00:00:00.000,tablet,BlackBerry,35,35,100
2014-01-07T00:00:00.000,tablet,Chrome,69,69,0
2014-01-07T00:00:00.000,tablet,Safari,830,934,29.6574
2014-01-08T00:00:00.000,desktop,Chrome,3045,3322,42.7152
2014-01-08T00:00:00.000,desktop,Firefox,1246,1350,51.2593
2014-01-08T00:00:00.000,desktop,IE with Chrome Frame,35,35,0
2014-01-08T00:00:00.000,desktop,Internet Explorer,5121,5986,45.6732
2014-01-08T00:00:00.000,desktop,Opera,35,35,100
2014-01-08T00:00:00.000,desktop,Safari,830,900,57.6667
2014-01-08T00:00:00.000,mobile,Android Browser,1177,1419,58.4919
2014-01-08T00:00:00.000,mobile,Chrome,554,588,64.7959
2014-01-08T00:00:00.000,mobile,Firefox,35,35,100
2014-01-08T00:00:00.000,mobile,Safari,1834,2007,56.9008
2014-01-08T00:00:00.000,mobile,Safari (in-app),69,69,100
2014-01-08T00:00:00.000,tablet,Amazon Silk,35,35,100
2014-01-08T00:00:00.000,tablet,Chrome,104,173,79.7688
2014-01-08T00:00:00.000,tablet,Safari,830,934,62.955
2014-01-08T00:00:00.000,tablet,Safari (in-app),35,35,100
2014-01-09T00:00:00.000,desktop,Chrome,3114,3564,45.6229
2014-01-09T00:00:00.000,desktop,Firefox,1350,1488,46.5054
2014-01-09T00:00:00.000,desktop,IE with Chrome Frame,69,69,100
2014-01-09T00:00:00.000,desktop,Internet Explorer,5087,5883,37.0559
2014-01-09T00:00:00.000,desktop,Opera,35,35,100
2014-01-09T00:00:00.000,desktop,Safari,1211,1384,45.0145
2014-01-09T00:00:00.000,mobile,Android Browser,934,1107,31.2556
2014-01-09T00:00:00.000,mobile,Chrome,381,519,53.3719
2014-01-09T00:00:00.000,mobile,Safari,1246,1419,63.4249
2014-01-09T00:00:00.000,mobile,Safari (in-app),173,173,60.1156
2014-01-09T00:00:00.000,tablet,Amazon Silk,69,69,100
2014-01-09T00:00:00.000,tablet,Android Browser,35,35,100
2014-01-09T00:00:00.000,tablet,Chrome,69,69,0
2014-01-09T00:00:00.000,tablet,Safari,692,900,57.6667
2014-01-09T00:00:00.000,tablet,Safari (in-app),35,35,100
2014-01-10T00:00:00.000,desktop,Chrome,1972,2318,43.2701
2014-01-10T00:00:00.000,desktop,Firefox,900,934,59.3148
2014-01-10T00:00:00.000,desktop,Internet Explorer,3045,3564,40.7688
2014-01-10T00:00:00.000,desktop,Opera,104,104,100
2014-01-10T00:00:00.000,desktop,Safari,727,761,63.6005
2014-01-10T00:00:00.000,mobile,Android Browser,554,761,45.4665
2014-01-10T00:00:00.000,mobile,BlackBerry,35,35,100
2014-01-10T00:00:00.000,mobile,Chrome,242,277,100
2014-01-10T00:00:00.000,mobile,Firefox,35,35,100
2014-01-10T00:00:00.000,mobile,Internet Explorer,35,35,0
2014-01-10T00:00:00.000,mobile,Opera Mini,35,35,100
2014-01-10T00:00:00.000,mobile,Safari,865,865,72.0231
2014-01-10T00:00:00.000,mobile,Safari (in-app),35,35,100
2014-01-10T00:00:00.000,tablet,Android Browser,35,35,100
2014-01-10T00:00:00.000,tablet,Chrome,138,138,75.3623
2014-01-10T00:00:00.000,tablet,Safari,484,484,42.9752
2014-01-10T00:00:00.000,tablet,Safari (in-app),104,104,100
2014-01-11T00:00:00.000,desktop,Chrome,1073,1073,45.1072
2014-01-11T00:00:00.000,desktop,Firefox,727,761,54.5335
2014-01-11T00:00:00.000,desktop,Internet Explorer,1107,1211,62.8406
2014-01-11T00:00:00.000,desktop,Safari,346,346,39.8844
2014-01-11T00:00:00.000,mobile,Android Browser,311,311,55.627
2014-01-11T00:00:00.000,mobile,Chrome,242,242,71.4876
2014-01-11T00:00:00.000,mobile,Internet Explorer,69,69,100
2014-01-11T00:00:00.000,mobile,Safari,692,727,66.575
2014-01-11T00:00:00.000,mobile,Safari (in-app),35,35,100
2014-01-11T00:00:00.000,tablet,Android Browser,69,69,50.7246
2014-01-11T00:00:00.000,tablet,Chrome,138,138,50
2014-01-11T00:00:00.000,tablet,Safari,554,657,52.6636
2014-01-11T00:00:00.000,tablet,Safari (in-app),35,35,100
2014-01-12T00:00:00.000,desktop,Chrome,1038,1142,60.5954
2014-01-12T00:00:00.000,desktop,Firefox,484,554,56.1372
2014-01-12T00:00:00.000,desktop,Internet Explorer,1177,1246,36.1156
2014-01-12T00:00:00.000,desktop,Opera,35,35,100
2014-01-12T00:00:00.000,desktop,Safari,519,588,23.4694
2014-01-12T00:00:00.000,desktop,YaBrowser,35,35,100
2014-01-12T00:00:00.000,mobile,Android Browser,277,277,75.0903
2014-01-12T00:00:00.000,mobile,Chrome,381,381,54.5932
2014-01-12T00:00:00.000,mobile,Opera Mini,35,35,100
2014-01-12T00:00:00.000,mobile,Safari,934,1038,63.2948
2014-01-12T00:00:00.000,mobile,Safari (in-app),35,35,100
2014-01-12T00:00:00.000,tablet,Android Browser,104,104,66.3462
2014-01-12T00:00:00.000,tablet,Chrome,69,69,50.7246
2014-01-12T00:00:00.000,tablet,Safari,519,519,40.0771
2014-01-13T00:00:00.000,desktop,Chrome,2042,2180,53.9908
2014-01-13T00:00:00.000,desktop,Firefox,1419,1869,55.5377
2014-01-13T00:00:00.000,desktop,Internet Explorer,3945,4671,43.7165
2014-01-13T00:00:00.000,desktop,Nintendo Browser,35,35,100
2014-01-13T00:00:00.000,desktop,Safari,1003,1107,46.8835
2014-01-13T00:00:00.000,mobile,Android Browser,346,381,72.7034
2014-01-13T00:00:00.000,mobile,Chrome,104,104,100
2014-01-13T00:00:00.000,mobile,Internet Explorer,69,69,50.7246
2014-01-13T00:00:00.000,mobile,Safari,727,727,66.575
2014-01-13T00:00:00.000,mobile,Safari (in-app),69,69,100
2014-01-13T00:00:00.000,tablet,Amazon Silk,35,35,0
2014-01-13T00:00:00.000,tablet,Android Browser,69,69,50.7246
2014-01-13T00:00:00.000,tablet,Chrome,35,35,0
2014-01-13T00:00:00.000,tablet,Safari,450,484,50
2014-01-14T00:00:00.000,desktop,Chrome,2422,2595,53.3333
2014-01-14T00:00:00.000,desktop,Firefox,1557,1730,43.9884
2014-01-14T00:00:00.000,desktop,IE with Chrome Frame,104,104,66.3462
2014-01-14T00:00:00.000,desktop,Internet Explorer,3806,4187,35.5386
2014-01-14T00:00:00.000,desktop,Opera,35,35,100
2014-01-14T00:00:00.000,desktop,Safari,900,969,42.8277
2014-01-14T00:00:00.000,mobile,Android Browser,727,796,56.5327
2014-01-14T00:00:00.000,mobile,Chrome,35,35,0
2014-01-14T00:00:00.000,mobile,Internet Explorer,35,35,0
2014-01-14T00:00:00.000,mobile,Safari,1003,1038,50
2014-01-14T00:00:00.000,mobile,Safari (in-app),35,35,100
2014-01-14T00:00:00.000,tablet,Android Browser,35,35,0
2014-01-14T00:00:00.000,tablet,Safari,484,588,41.1565
2014-01-14T00:00:00.000,tablet,Safari (in-app),69,69,100
2014-01-15T00:00:00.000,desktop,Chrome,2734,2941,57.6675
2014-01-15T00:00:00.000,desktop,Firefox,1453,1626,48.9545
2014-01-15T00:00:00.000,desktop,IE with Chrome Frame,35,35,0
2014-01-15T00:00:00.000,desktop,Internet Explorer,2907,3426,50.4962
2014-01-15T00:00:00.000,desktop,Opera,35,35,100
2014-01-15T00:00:00.000,desktop,Safari,830,830,45.9036
2014-01-15T00:00:00.000,mobile,Android Browser,381,554,68.7726
2014-01-15T00:00:00.000,mobile,BlackBerry,35,35,100
2014-01-15T00:00:00.000,mobile,Chrome,208,208,100
2014-01-15T00:00:00.000,mobile,Opera Mini,69,69,50.7246
2014-01-15T00:00:00.000,mobile,Safari,623,692,30.0578
2014-01-15T00:00:00.000,mobile,Safari (in-app),104,104,100
2014-01-15T00:00:00.000,tablet,Android Browser,35,35,0
2014-01-15T00:00:00.000,tablet,Chrome,69,104,33.6538
2014-01-15T00:00:00.000,tablet,Safari,588,588,47.1088
2014-01-15T00:00:00.000,tablet,Safari (in-app),69,69,100
2014-01-16T00:00:00.000,desktop,Chrome,2215,2422,51.4451
2014-01-16T00:00:00.000,desktop,Firefox,1073,1315,49.962
2014-01-16T00:00:00.000,desktop,Internet Explorer,2941,3495,49.4993
2014-01-16T00:00:00.000,desktop,Safari,727,761,77.2668
2014-01-16T00:00:00.000,mobile,Android Browser,415,484,57.2314
2014-01-16T00:00:00.000,mobile,Chrome,138,138,75.3623
2014-01-16T00:00:00.000,mobile,Dolfin,35,35,100
2014-01-16T00:00:00.000,mobile,Firefox,35,35,100
2014-01-16T00:00:00.000,mobile,Safari,1038,1107,71.9061
2014-01-16T00:00:00.000,tablet,Android Browser,69,69,0
2014-01-16T00:00:00.000,tablet,Chrome,35,35,0
2014-01-16T00:00:00.000,tablet,Safari,381,450,61.5556
2014-01-16T00:00:00.000,tablet,Safari (in-app),35,35,100
2014-01-16T00:00:00.000,tablet,YaBrowser,35,35,100
2014-01-17T00:00:00.000,desktop,Chrome,2111,2249,58.4704
2014-01-17T00:00:00.000,desktop,Firefox,1246,1523,65.8569
2014-01-17T00:00:00.000,desktop,Internet Explorer,2422,2595,49.3256
2014-01-17T00:00:00.000,desktop,Safari,727,865,60
2014-01-17T00:00:00.000,mobile,Android Browser,277,277,75.0903
2014-01-17T00:00:00.000,mobile,Chrome,35,35,100
2014-01-17T00:00:00.000,mobile,Opera Mini,35,35,100
2014-01-17T00:00:00.000,mobile,Safari,969,1003,79.3619
2014-01-17T00:00:00.000,tablet,Android Browser,35,35,100
2014-01-17T00:00:00.000,tablet,Chrome,69,69,100
2014-01-17T00:00:00.000,tablet,Safari,519,657,36.8341
2014-01-18T00:00:00.000,desktop,Chrome,900,934,33.2976
2014-01-18T00:00:00.000,desktop,Firefox,692,761,40.8673
2014-01-18T00:00:00.000,desktop,Internet Explorer,1107,1107,43.7218
2014-01-18T00:00:00.000,desktop,Safari,623,623,38.8443
2014-01-18T00:00:00.000,desktop,YaBrowser,35,35,100
2014-01-18T00:00:00.000,mobile,Android Browser,277,277,49.8195
2014-01-18T00:00:00.000,mobile,Chrome,208,277,75.0903
2014-01-18T00:00:00.000,mobile,Dolfin,35,35,0
2014-01-18T00:00:00.000,mobile,Safari,796,830,87.5904
2014-01-18T00:00:00.000,tablet,Amazon Silk,35,35,100
2014-01-18T00:00:00.000,tablet,Android Browser,69,69,50.7246
2014-01-18T00:00:00.000,tablet,Safari,346,346,50
2014-01-19T00:00:00.000,desktop,Chrome,1384,1488,48.8575
2014-01-19T00:00:00.000,desktop,Firefox,623,657,52.6636
2014-01-19T00:00:00.000,desktop,Internet Explorer,830,830,54.2169
2014-01-19T00:00:00.000,desktop,Opera,35,35,0
2014-01-19T00:00:00.000,desktop,Safari,657,692,50
2014-01-19T00:00:00.000,mobile,Android Browser,484,519,79.9615
2014-01-19T00:00:00.000,mobile,Chrome,173,173,100
2014-01-19T00:00:00.000,mobile,Safari,1003,1003,79.3619
2014-01-19T00:00:00.000,tablet,Chrome,35,35,0
2014-01-19T00:00:00.000,tablet,Safari,311,311,66.881
2014-01-20T00:00:00.000,desktop,Chrome,2145,2249,44.5976
2014-01-20T00:00:00.000,desktop,Firefox,1073,1073,38.6766
2014-01-20T00:00:00.000,desktop,Internet Explorer,1350,1523,40.9061
2014-01-20T00:00:00.000,desktop,Opera,35,35,0
2014-01-20T00:00:00.000,desktop,Safari,796,830,54.2169
2014-01-20T00:00:00.000,mobile,Android Browser,277,277,75.0903
2014-01-20T00:00:00.000,mobile,BlackBerry,69,69,0
2014-01-20T00:00:00.000,mobile,Chrome,208,311,77.8135
2014-01-20T00:00:00.000,mobile,Safari,1003,1038,56.6474
2014-01-20T00:00:00.000,tablet,Android Browser,35,35,100
2014-01-20T00:00:00.000,tablet,Safari,623,623,55.5377
2014-01-21T00:00:00.000,desktop,Chrome,2180,2422,51.4451
2014-01-21T00:00:00.000,desktop,Firefox,1003,1177,55.8199
2014-01-21T00:00:00.000,desktop,IE with Chrome Frame,35,35,100
2014-01-21T00:00:00.000,desktop,Internet Explorer,3391,4152,42.5096
2014-01-21T00:00:00.000,desktop,Safari,588,623,66.6132
2014-01-21T00:00:00.000,mobile,Android Browser,415,450,53.7778
2014-01-21T00:00:00.000,mobile,BlackBerry,35,69,50.7246
2014-01-21T00:00:00.000,mobile,Chrome,311,346,60.1156
2014-01-21T00:00:00.000,mobile,Firefox,35,35,0
2014-01-21T00:00:00.000,mobile,Opera Mini,35,35,100
2014-01-21T00:00:00.000,mobile,Safari,1246,1384,77.5289
2014-01-21T00:00:00.000,mobile,Safari (in-app),35,35,100
2014-01-21T00:00:00.000,tablet,Chrome,35,69,100
2014-01-21T00:00:00.000,tablet,Safari,554,657,68.4932
2014-01-22T00:00:00.000,desktop,Chrome,2318,2561,55.408
2014-01-22T00:00:00.000,desktop,Firefox,1211,1350,43.5556
2014-01-22T00:00:00.000,desktop,IE with Chrome Frame,35,35,100
2014-01-22T00:00:00.000,desktop,Internet Explorer,3149,3703,40.1836
2014-01-22T00:00:00.000,desktop,NetFront,35,35,100
2014-01-22T00:00:00.000,desktop,Opera,35,35,100
2014-01-22T00:00:00.000,desktop,Safari,588,692,55.0578
2014-01-22T00:00:00.000,mobile,Android Browser,208,208,100
2014-01-22T00:00:00.000,mobile,BlackBerry,35,35,100
2014-01-22T00:00:00.000,mobile,Chrome,450,450,61.5556
2014-01-22T00:00:00.000,mobile,Opera Mini,35,35,100
2014-01-22T00:00:00.000,mobile,Safari,1073,1211,80.0165
2014-01-22T00:00:00.000,tablet,Android Browser,104,104,100
2014-01-22T00:00:00.000,tablet,Chrome,69,138,75.3623
2014-01-22T00:00:00.000,tablet,Safari,588,623,44.4623
2014-01-22T00:00:00.000,tablet,Safari (in-app),35,35,100
2014-01-23T00:00:00.000,desktop,Chrome,2422,2561,60.7966
2014-01-23T00:00:00.000,desktop,Firefox,727,796,52.1357
2014-01-23T00:00:00.000,desktop,IE with Chrome Frame,69,69,50.7246
2014-01-23T00:00:00.000,desktop,Internet Explorer,3253,3668,45.2835
2014-01-23T00:00:00.000,desktop,Opera,35,35,100
2014-01-23T00:00:00.000,desktop,Safari,554,554,50
2014-01-23T00:00:00.000,mobile,Android Browser,311,381,81.6273
2014-01-23T00:00:00.000,mobile,BlackBerry,35,35,100
2014-01-23T00:00:00.000,mobile,Chrome,415,450,61.5556
2014-01-23T00:00:00.000,mobile,Safari,1003,1177,67.6296
2014-01-23T00:00:00.000,mobile,Safari (in-app),69,69,100
2014-01-23T00:00:00.000,tablet,Android Browser,138,242,42.9752
2014-01-23T00:00:00.000,tablet,Chrome,104,138,25.3623
2014-01-23T00:00:00.000,tablet,Safari,381,381,63.5171
2014-01-24T00:00:00.000,desktop,Chrome,1799,2007,49.9751
2014-01-24T00:00:00.000,desktop,Firefox,1177,1453,42.8768
2014-01-24T00:00:00.000,desktop,Internet Explorer,2872,3495,40.6009
2014-01-24T00:00:00.000,desktop,Opera,35,35,100
2014-01-24T00:00:00.000,desktop,Safari,623,692,50
2014-01-24T00:00:00.000,mobile,Android Browser,381,415,66.747
2014-01-24T00:00:00.000,mobile,Chrome,104,138,100
2014-01-24T00:00:00.000,mobile,Safari,796,865,87.9769
2014-01-24T00:00:00.000,mobile,Safari (in-app),35,35,100
2014-01-24T00:00:00.000,tablet,Android Browser,35,69,100
2014-01-24T00:00:00.000,tablet,Chrome,35,35,100
2014-01-24T00:00:00.000,tablet,Safari,277,277,24.9097
2014-01-25T00:00:00.000,desktop,Chrome,1211,1246,50
2014-01-25T00:00:00.000,desktop,Firefox,415,450,53.7778
2014-01-25T00:00:00.000,desktop,Internet Explorer,934,934,55.5675
2014-01-25T00:00:00.000,desktop,Safari,588,623,61.1557
2014-01-25T00:00:00.000,mobile,Android Browser,311,311,89.0675
2014-01-25T00:00:00.000,mobile,Chrome,277,277,87.3646
2014-01-25T00:00:00.000,mobile,Firefox,35,35,0
2014-01-25T00:00:00.000,mobile,Opera Mini,35,35,100
2014-01-25T00:00:00.000,mobile,Safari,657,727,71.3893
2014-01-25T00:00:00.000,tablet,Amazon Silk,35,35,100
2014-01-25T00:00:00.000,tablet,Android Browser,173,173,20.2312
2014-01-25T00:00:00.000,tablet,Safari,381,450,61.5556
2014-01-26T00:00:00.000,desktop,Chrome,1107,1211,57.1429
2014-01-26T00:00:00.000,desktop,Firefox,727,727,57.0839
2014-01-26T00:00:00.000,desktop,Internet Explorer,1315,1350,48.6667
2014-01-26T00:00:00.000,desktop,Opera,35,35,100
2014-01-26T00:00:00.000,desktop,Safari,484,484,78.719
2014-01-26T00:00:00.000,mobile,Android Browser,311,311,22.1865
2014-01-26T00:00:00.000,mobile,BlackBerry,35,35,100
2014-01-26T00:00:00.000,mobile,Chrome,35,35,100
2014-01-26T00:00:00.000,mobile,Opera Mini,35,35,100
2014-01-26T00:00:00.000,mobile,Safari,830,900,76.8889
2014-01-26T00:00:00.000,tablet,Chrome,35,35,100
2014-01-26T00:00:00.000,tablet,Safari,519,519,46.6281
2014-01-26T00:00:00.000,tablet,Safari (in-app),35,35,100
2014-01-27T00:00:00.000,desktop,Chrome,2837,2976,47.6815
2014-01-27T00:00:00.000,desktop,Firefox,1211,1280,37.8125
2014-01-27T00:00:00.000,desktop,IE with Chrome Frame,104,104,33.6538
2014-01-27T00:00:00.000,desktop,Internet Explorer,3322,3876,40.1703
2014-01-27T00:00:00.000,desktop,Opera,35,35,100
2014-01-27T00:00:00.000,desktop,Safari,934,1003,34.4965
2014-01-27T00:00:00.000,mobile,Android Browser,484,484,71.4876
2014-01-27T00:00:00.000,mobile,Chrome,104,104,100
2014-01-27T00:00:00.000,mobile,Opera Mini,35,35,100
2014-01-27T00:00:00.000,mobile,Safari,796,830,87.5904
2014-01-27T00:00:00.000,mobile,Safari (in-app),35,35,100
2014-01-27T00:00:00.000,tablet,Amazon Silk,35,35,0
2014-01-27T00:00:00.000,tablet,Android Browser,138,138,75.3623
2014-01-27T00:00:00.000,tablet,Chrome,35,35,100
2014-01-27T00:00:00.000,tablet,Safari,554,554,50
2014-01-28T00:00:00.000,desktop,Chrome,2215,2491,54.1951
2014-01-28T00:00:00.000,desktop,Firefox,1073,1246,47.191
2014-01-28T00:00:00.000,desktop,IE with Chrome Frame,35,35,100
2014-01-28T00:00:00.000,desktop,Internet Explorer,3149,3876,46.4138
2014-01-28T00:00:00.000,desktop,Opera,69,69,100
2014-01-28T00:00:00.000,desktop,Safari,761,761,54.5335
2014-01-28T00:00:00.000,desktop,UC Browser,35,35,100
2014-01-28T00:00:00.000,mobile,Android Browser,415,415,41.6867
2014-01-28T00:00:00.000,mobile,Chrome,242,311,55.627
2014-01-28T00:00:00.000,mobile,Internet Explorer,35,35,100
2014-01-28T00:00:00.000,mobile,Safari,1003,1107,74.9774
2014-01-28T00:00:00.000,mobile,Safari (in-app),35,35,100
2014-01-28T00:00:00.000,tablet,Amazon Silk,104,104,66.3462
2014-01-28T00:00:00.000,tablet,Android Browser,69,69,0
2014-01-28T00:00:00.000,tablet,Chrome,138,173,79.7688
2014-01-28T00:00:00.000,tablet,Safari,415,415,33.253
2014-01-28T00:00:00.000,tablet,Safari (in-app),35,35,100
2014-01-29T00:00:00.000,desktop,Chrome,2872,3218,52.7035
2014-01-29T00:00:00.000,desktop,Firefox,761,865,44.0462
2014-01-29T00:00:00.000,desktop,IE with Chrome Frame,69,69,0
2014-01-29T00:00:00.000,desktop,Internet Explorer,2699,3391,39.8113
2014-01-29T00:00:00.000,desktop,Opera,35,35,100
2014-01-29T00:00:00.000,desktop,Safari,692,727,57.0839
2014-01-29T00:00:00.000,mobile,Android Browser,277,311,66.881
2014-01-29T00:00:00.000,mobile,Chrome,311,381,90.8136
2014-01-29T00:00:00.000,mobile,Internet Explorer,35,35,100
2014-01-29T00:00:00.000,mobile,Opera Mini,35,35,100
2014-01-29T00:00:00.000,mobile,S40 Ovi Browser,35,35,0
2014-01-29T00:00:00.000,mobile,Safari,1038,1142,63.6602
2014-01-29T00:00:00.000,mobile,Safari (in-app),104,104,66.3462
2014-01-29T00:00:00.000,tablet,Amazon Silk,35,35,0
2014-01-29T00:00:00.000,tablet,Android Browser,35,35,0
2014-01-29T00:00:00.000,tablet,Chrome,104,104,66.3462
2014-01-29T00:00:00.000,tablet,Safari,381,381,36.2205
2014-01-30T00:00:00.000,desktop,Chrome,2388,2595,46.6667
2014-01-30T00:00:00.000,desktop,Firefox,1419,1488,44.1532
2014-01-30T00:00:00.000,desktop,IE with Chrome Frame,104,104,100
2014-01-30T00:00:00.000,desktop,Internet Explorer,3080,3633,50.4817
2014-01-30T00:00:00.000,desktop,Opera,35,35,100
2014-01-30T00:00:00.000,desktop,Safari,519,554,43.6823
2014-01-30T00:00:00.000,mobile,Android Browser,346,346,69.9422
2014-01-30T00:00:00.000,mobile,Chrome,277,277,87.3646
2014-01-30T00:00:00.000,mobile,Safari,830,969,53.5604
2014-01-30T00:00:00.000,mobile,Safari (in-app),35,35,100
2014-01-30T00:00:00.000,tablet,Android Browser,69,69,0
2014-01-30T00:00:00.000,tablet,Safari,484,484,50
2014-01-31T00:00:00.000,desktop,Chrome,2353,2491,58.33
2014-01-31T00:00:00.000,desktop,Firefox,969,1003,51.7448
2014-01-31T00:00:00.000,desktop,IE with Chrome Frame,69,69,0
2014-01-31T00:00:00.000,desktop,Internet Explorer,2526,2872,51.8106
2014-01-31T00:00:00.000,desktop,Opera,35,35,100
2014-01-31T00:00:00.000,desktop,Safari,727,727,38.1018
